"Scientific" "BodyMass.Value" "Trophic_level" "Lifespan"
"Eliurus grandidieri" 77.7 NA NA
"Eliurus ellermani" 100 NA NA
"Gymnuromys roberti" 97.5 1 NA
"Hypogeomys antimena" 1250 1 12.6
"Macrotarsomys bastardi" 25 2 NA
"Macrotarsomys ingens" 55 NA NA
"Brachytarsomys albicauda" 200 1 NA
"Brachytarsomys villosa" 220 NA NA
"Brachyuromys betsileoensis" 92.5 NA NA
"Brachyuromys ramirohitra" 90 NA NA
"Petromyscus barbouri" 21.49 NA NA
"Petromyscus collinus" 20 NA NA
"Petromyscus monticularis" 20.73 NA NA
"Petromyscus shortridgei" 46.5 NA NA
"Beamys hindei" 75.8 NA NA
"Beamys major" 75.8 NA NA
"Cricetomys kivuensis" 1285.41 NA NA
"Cricetomys ansorgei" 1285.41 NA NA
"Cricetomys emini" 1299.99 NA 7.4
"Cricetomys gambianus" 1271 NA 8.4
"Saccostomus campestris" 51.23 2 4.5
"Saccostomus mearnsi" 45.5 2 NA
"Delanymys brooksi" 5 NA 2
"Dendromus nyikae" 15 NA NA
"Dendromus kahuziensis" 11 NA NA
"Dendromus oreas" 12.76 NA NA
"Dendromus nyasae" 13.72 NA NA
"Dendromus mystacalis" 7.72 NA NA
"Dendromus messorius" 12.81 NA NA
"Dendromus mesomelas" 11.12 NA 3.3
"Dendromus melanotis" 9.06 NA 4.2
"Dendromus leucostomus" 10.79 NA NA
"Dendromus vernayi" 12.76 NA NA
"Dendromus insignis" 11.05 NA NA
"Dendromus lovati" 12 NA NA
"Dendroprionomys rousseloti" 67.18 NA NA
"Malacothrix typica" 13.4 2 NA
"Megadendromus nikolausi" 52 NA NA
"Prionomys batesi" 12.5 NA NA
"Steatomys parvus" 8.85 NA NA
"Steatomys pratensis" 48 NA NA
"Steatomys opimus" 40 3 NA
"Steatomys caurinus" 44.75 NA NA
"Steatomys bocagei" 27.5 NA NA
"Steatomys krebsii" 20.67 NA NA
"Steatomys jacksoni" 28.4 NA NA
"Steatomys cuppedius" 28.39 NA NA
"Mystromys albicaudatus" 86.85 NA 6.3
"Alticola barakshin" 33.6 NA NA
"Alticola argentatus" 37.7 1 NA
"Alticola albicaudus" 34.53 NA NA
"Alticola semicanus" 33.39 NA 3.8
"Alticola stoliczkanus" 27.47 NA NA
"Alticola tuvinicus" 33.32 NA NA
"Alticola montosa" 34.53 NA NA
"Alticola roylei" 37 NA NA
"Alticola olchonensis" 36.96 NA NA
"Alticola lemminus" 33.56 NA NA
"Alticola macrotis" 36 NA NA
"Alticola strelzowi" 50 NA NA
"Microtus gregalis" 47.5 NA NA
"Microtus umbrosus" 42 NA NA
"Microtus californicus" 57.42 NA NA
"Microtus chrotorrhinus" 39 1 NA
"Microtus longicaudus" 46.71 1 NA
"Microtus richardsoni" 85 1 1.5
"Microtus miurus" 41 NA NA
"Microtus mexicanus" 35 NA NA
"Microtus abbreviatus" 62 NA NA
"Microtus guatemalensis" 42 NA NA
"Microtus xanthognathus" 125.75 1 NA
"Microtus schidlovskii" 37.99 NA NA
"Microtus socialis" 48 NA NA
"Microtus paradoxus" 37.99 NA NA
"Microtus anatolicus" 37.99 NA NA
"Microtus tatricus" 40 NA NA
"Microtus dogramacii" 37.99 NA NA
"Microtus cabrerae" 52.5 NA NA
"Microtus arvalis" 28 NA 4.8
"Microtus agrestis" 42.5 NA 4.8
"Microtus qazvinensis" 37.99 NA NA
"Microtus levis" 35.49 NA NA
"Microtus guentheri" 50 NA 3.9
"Microtus irani" 45.36 NA NA
"Microtus ilaeus" 36.67 NA NA
"Microtus transcaspicus" 35.17 NA NA
"Microtus maximowiczii" 41.49 NA NA
"Microtus limnophilus" 40.59 NA NA
"Microtus montebelli" 39.85 NA NA
"Microtus mujanensis" 41.55 NA NA
"Microtus fortis" 63 NA NA
"Microtus clarkei" 48.14 NA NA
"Microtus middendorffii" 36.49 NA NA
"Microtus oeconomus" 34.38 NA 1.8
"Microtus evoronensis" 41.42 NA NA
"Microtus kikuchii" 46.3 NA NA
"Microtus mongolicus" 27.5 NA NA
"Microtus sachalinensis" 36.33 NA NA
"Microtus duodecimcostatus" 23 NA NA
"Microtus majori" 18.2 NA NA
"Microtus thomasi" 25.67 NA NA
"Microtus felteni" 24.34 NA NA
"Microtus bavaricus" 23.94 1 NA
"Microtus gerbei" 24.89 NA NA
"Microtus liechtensteini" 37.99 NA NA
"Microtus daghestanicus" 12.99 NA NA
"Microtus lusitanicus" 24.82 NA NA
"Microtus brachycercus" 37.99 NA NA
"Microtus savii" 20 NA NA
"Microtus schelkovnikovi" 26.4 NA NA
"Microtus subterraneus" 19.5 NA NA
"Microtus multiplex" 23.17 NA NA
"Microtus montanus" 36.33 NA NA
"Microtus townsendii" 64.75 1 NA
"Microtus canicaudus" 28.45 NA NA
"Microtus breweri" 54 1 NA
"Microtus pennsylvanicus" 36.75 2 0.916666667
"Microtus oregoni" 20.35 1 1.25
"Microtus oaxacensis" 39.2 NA NA
"Microtus quasiater" 40 NA NA
"Microtus pinetorum" 26.28 1 3.8
"Microtus ochrogaster" 38.01 2 5.3
"Arborimus albipes" 23 1 NA
"Arborimus pomo" 32.5 1 NA
"Arborimus longicaudus" 21.8 1 NA
"Arvicola amphibius" 120 NA 2.5
"Arvicola scherman" 162.48 NA NA
"Arvicola sapidus" 220 NA 3.5
"Blanfordimys afghanus" 56.99 NA NA
"Blanfordimys bucharensis" 57.08 NA NA
"Caryomys eva" 47.71 NA NA
"Caryomys inez" 47.71 NA NA
"Chionomys roberti" 93.5 NA NA
"Chionomys gud" 93.5 NA NA
"Chionomys nivalis" 54 NA NA
"Dicrostonyx hudsonius" 57 NA NA
"Dicrostonyx nelsoni" 60.85 NA NA
"Dicrostonyx nunatakensis" 60.82 NA NA
"Dicrostonyx richardsoni" 55 NA NA
"Dicrostonyx torquatus" 85 NA 3.8
"Dicrostonyx unalascensis" 60.84 NA NA
"Dicrostonyx vinogradovi" 60.78 NA NA
"Dicrostonyx groenlandicus" 54.4 NA 3.3
"Dinaromys bogdanovi" 56 NA NA
"Ellobius alaicus" 67.61 NA NA
"Ellobius talpinus" 40 NA NA
"Ellobius tancrei" 67.92 NA NA
"Ellobius lutescens" 117.31 NA NA
"Ellobius fuscocapillus" 80 1 NA
"Eolagurus przewalskii" 28.03 NA NA
"Eolagurus luteus" 26 NA NA
"Eothenomys custos" 30.8 NA NA
"Eothenomys chinensis" 45.3 NA NA
"Eothenomys cachinus" 34.83 NA NA
"Eothenomys miletus" 50.7 NA NA
"Eothenomys olitor" 22 NA NA
"Eothenomys wardi" 34.83 NA NA
"Eothenomys proditor" 42.5 NA NA
"Eothenomys melanogaster" 27 NA NA
"Hyperacrius wynnei" 52.6 NA NA
"Hyperacrius fertilis" 22.25 NA NA
"Lagurus lagurus" 20.3 NA 3.8
"Lasiopodomys mandarinus" 47.48 NA NA
"Lasiopodomys fuscus" 42.5 NA NA
"Lasiopodomys brandtii" 93.82 NA 4.1
"Lemmiscus curtatus" 28.27 1 NA
"Lemmus amurensis" 42.81 NA NA
"Lemmus lemmus" 47.5 NA 3.3
"Lemmus portenkoi" 55.76 NA NA
"Lemmus trimucronatus" 69.82 NA NA
"Lemmus sibiricus" 52.27 NA NA
"Myodes rutilus" 19.94 2 NA
"Myodes rufocanus" 36.43 NA NA
"Myodes andersoni" 24 NA NA
"Myodes californicus" 18.3 NA NA
"Myodes centralis" 24 NA NA
"Myodes gapperi" 19.83 2 1.666666667
"Myodes glareolus" 20.73 2 4.9
"Myodes imaizumii" 24 NA NA
"Myodes smithii" 34.94 NA 3.5
"Myodes rex" 24 NA NA
"Myodes shanseius" 29.22 NA NA
"Myodes regulus" 29.84 NA NA
"Myopus schisticolor" 25 NA 1
"Neodon sikimensis" 40.51 NA NA
"Neodon forresti" 47.71 NA NA
"Neodon irene" 41.87 NA NA
"Neodon juldaschi" 47.71 NA NA
"Neofiber alleni" 266 1 NA
"Ondatra zibethicus" 1065.75 2 10
"Phaiomys leucurus" 41.87 NA NA
"Phenacomys ungava" 32.5 NA NA
"Phenacomys intermedius" 25.2 1 NA
"Proedromys bedfordi" 55.86 NA NA
"Prometheomys schaposchnikowi" 75 NA NA
"Synaptomys cooperi" 31.92 1 2.5
"Synaptomys borealis" 21.3 NA NA
"Volemys musseri" 42.5 NA NA
"Volemys millicens" 49.02 NA NA
"Lophiomys imhausi" 755.01 NA 7.5
"Baiomys musculus" 9 1 NA
"Baiomys taylori" 8 1 3.3
"Habromys simulatus" 40 NA NA
"Habromys chinanteco" 40 NA NA
"Habromys lepturus" 85 NA NA
"Habromys lophurus" 40 NA NA
"Habromys ixtlani" 48.29 NA NA
"Habromys delicatulus" 48.29 NA NA
"Reithrodontomys zacatecae" 14.49 NA NA
"Reithrodontomys megalotis" 9.37 NA 1.5
"Reithrodontomys hirsutus" 20 NA NA
"Reithrodontomys fulvescens" 11.4 2 NA
"Reithrodontomys chrysopsis" 19 NA NA
"Reithrodontomys burti" 20 NA NA
"Reithrodontomys humulis" 8.31 2 2.240833333
"Reithrodontomys montanus" 10.9 2 NA
"Reithrodontomys sumichrasti" 19 NA NA
"Reithrodontomys raviventris" 11.05 1 2.583333333
"Reithrodontomys creper" 22.8 NA NA
"Reithrodontomys rodriguezi" 19.29 NA NA
"Reithrodontomys tenuirostris" 20 NA NA
"Reithrodontomys paradoxus" 16.22 NA NA
"Reithrodontomys mexicanus" 16 NA NA
"Reithrodontomys brevirostris" 12.9 NA NA
"Reithrodontomys spectabilis" 20.2 NA NA
"Reithrodontomys gracilis" 12.27 NA NA
"Reithrodontomys microdon" 20 NA NA
"Reithrodontomys darienensis" 13 NA NA
"Hodomys alleni" 367.6 NA NA
"Isthmomys flavidus" 233.68 1 NA
"Isthmomys pirrensis" 138 2 NA
"Megadontomys cryophilus" 76.56 NA NA
"Megadontomys thomasi" 111 NA NA
"Megadontomys nelsoni" 76.55 NA NA
"Nelsonia goldmani" 88.08 NA NA
"Nelsonia neotomodon" 80 NA NA
"Neotoma stephensi" 152.5 2 NA
"Neotoma mexicana" 203 1 NA
"Neotoma fuscipes" 229.83 NA NA
"Neotoma albigula" 206.03 1 9.5
"Neotoma angustapalata" 198 NA NA
"Neotoma anthonyi" 195.4 NA NA
"Neotoma bryanti" 182 NA NA
"Neotoma bunkeri" 375 NA NA
"Neotoma chrysomelas" 169.5 NA NA
"Neotoma nelsoni" 198 NA NA
"Neotoma floridana" 244.75 1 8.6
"Neotoma goldmani" 198 NA NA
"Neotoma lepida" 163.75 1 10.5
"Neotoma leucodon" 220.57 NA NA
"Neotoma macrotis" 225.74 NA NA
"Neotoma magister" 447 NA NA
"Neotoma martinensis" 246 NA NA
"Neotoma micropus" 237.5 1 2.25
"Neotoma palatina" 198 NA NA
"Neotoma devia" 200 NA NA
"Neotoma cinerea" 299.15 1 NA
"Neotoma phenax" 227.5 1 NA
"Neotomodon alstoni" 40 NA NA
"Ochrotomys nuttalli" 22.37 2 8.4
"Onychomys arenicola" 30 NA NA
"Onychomys leucogaster" 27.92 2 5.6
"Onychomys torridus" 24.97 3 4.6
"Osgoodomys banderanus" 50 NA NA
"Peromyscus stephani" 32.17 NA NA
"Peromyscus gossypinus" 29.39 3 1.291666667
"Peromyscus gratus" 27.35 NA NA
"Peromyscus zarhynchus" 40 NA NA
"Peromyscus yucatanicus" 26.3 NA NA
"Peromyscus winkelmanni" 53.75 NA NA
"Peromyscus fraterculus" 33 NA NA
"Peromyscus stirtoni" 29.2 NA NA
"Peromyscus dickeyi" 28.6 NA NA
"Peromyscus spicilegus" 36 NA NA
"Peromyscus slevini" 32.87 NA NA
"Peromyscus truei" 27.35 2 5.4
"Peromyscus eva" 22 NA NA
"Peromyscus simulus" 40 NA NA
"Peromyscus difficilis" 28 NA NA
"Peromyscus grandis" 71 NA NA
"Peromyscus crinitus" 17.98 2 7.7
"Peromyscus caniceps" 33.16 NA NA
"Peromyscus californicus" 43.53 2 5.5
"Peromyscus bullatus" 40 NA NA
"Peromyscus boylii" 21.35 NA 1.5
"Peromyscus beatae" 33 NA NA
"Peromyscus aztecus" 40 1 NA
"Peromyscus attwateri" 27.9 2 1.5
"Peromyscus eremicus" 23.65 2 7.4
"Peromyscus keeni" 28.25 NA NA
"Peromyscus mekisturus" 60 NA NA
"Peromyscus megalops" 66.2 NA NA
"Peromyscus mayensis" 32 NA NA
"Peromyscus maniculatus" 21.28 2 8.3
"Peromyscus sejugis" 21.5 NA NA
"Peromyscus melanocarpus" 59 NA NA
"Peromyscus furvus" 33 NA NA
"Peromyscus madrensis" 32.2 NA NA
"Peromyscus interparietalis" 28 NA NA
"Peromyscus hylocetes" 33 NA NA
"Peromyscus hooperi" 36 NA NA
"Peromyscus gymnotis" 40 NA NA
"Peromyscus guatemalensis" 40 NA 5.7
"Peromyscus guardia" 32.13 NA NA
"Peromyscus levipes" 23 NA NA
"Peromyscus pseudocrinitus" 33.03 NA NA
"Peromyscus leucopus" 21.17 2 7.9
"Peromyscus sagax" 33 NA NA
"Peromyscus melanophrys" 40 NA NA
"Peromyscus polius" 40 NA NA
"Peromyscus polionotus" 12.95 NA 5.5
"Peromyscus perfulvus" 40 NA NA
"Peromyscus pembertoni" 33 NA NA
"Peromyscus pectoralis" 39 1 NA
"Peromyscus ochraventer" 40 NA NA
"Peromyscus nasutus" 28 NA NA
"Peromyscus mexicanus" 32.6 1 NA
"Peromyscus merriami" 40 NA NA
"Peromyscus melanurus" 40 NA NA
"Peromyscus melanotis" 39.6 NA NA
"Podomys floridanus" 30.8 2 7.4
"Scotinomys xerampelinus" 15 NA NA
"Scotinomys teguina" 11.25 2 NA
"Xenomys nelsoni" 130 NA NA
"Juscelinomys guaporensis" 97.3 NA NA
"Juscelinomys candango" 97.3 2 NA
"Juscelinomys huanchacae" 97.3 NA NA
"Kunsia tomentosus" 115.6 NA NA
"Kunsia fronto" 168 1 NA
"Lenoxus apicalis" 53.6 NA NA
"Loxodontomys micropus" 70.76 2 NA
"Loxodontomys pikumche" 70.76 NA NA
"Lundomys molitor" 238.49 NA NA
"Megalomys desmarestii" 47.71 NA NA
"Megalomys luciae" 47.71 NA NA
"Megaoryzomys curioi" 47.71 NA NA
"Melanomys zunigae" 53.5 NA NA
"Melanomys caliginosus" 41 NA NA
"Melanomys robustulus" 53.5 NA NA
"Microakodontomys transitorius" 47.71 NA NA
"Abrawayaomys ruschii" 63 NA NA
"Abrothrix andinus" 24.91 NA NA
"Abrothrix olivaceus" 24.52 2 1
"Abrothrix markhami" 29.03 NA NA
"Abrothrix longipilis" 38.86 2 NA
"Abrothrix lanosus" 27.83 NA NA
"Abrothrix jelskii" 34.5 2 NA
"Abrothrix illuteus" 47.79 NA NA
"Abrothrix hershkovitzi" 32.42 NA NA
"Abrothrix sanborni" 24.7 2 NA
"Aepeomys lugens" 37 NA NA
"Aepeomys reigi" 37 NA NA
"Akodon aerosus" 60 NA NA
"Akodon bogotensis" 13 NA NA
"Akodon iniscatus" 28.7 NA NA
"Akodon orophilus" 39 NA NA
"Akodon molinae" 33 NA NA
"Akodon neocenus" 42.4 NA NA
"Akodon mystax" 18.5 NA NA
"Akodon montensis" 31.32 NA NA
"Akodon mollis" 30.4 NA NA
"Akodon lindberghi" 26.4 NA NA
"Akodon leucolimnaeus" 31.32 NA NA
"Akodon sanctipaulensis" 27.1 NA NA
"Akodon juninensis" 39 NA NA
"Akodon paranaensis" 31.32 NA NA
"Akodon fumeus" 22.7 NA NA
"Akodon dolores" 50.5 NA NA
"Akodon dayi" 32.5 NA NA
"Akodon cursor" 39.85 2 NA
"Akodon lutescens" 20.69 NA NA
"Akodon boliviensis" 27.5 2 NA
"Akodon azarae" 25 2 NA
"Akodon aliquantulus" 31.32 NA NA
"Akodon albiventer" 21.8 3 NA
"Akodon kofordi" 29.5 NA NA
"Akodon subfuscus" 30.4 NA NA
"Akodon torques" 39 NA NA
"Akodon oenos" 31.32 NA NA
"Akodon sylvanus" 39 NA NA
"Akodon pervalens" 31.32 NA NA
"Akodon toba" 51.2 NA NA
"Akodon surdus" 39 NA NA
"Akodon varius" 40 3 NA
"Akodon spegazzinii" 28.6 NA NA
"Akodon simulator" 42.5 NA NA
"Akodon reigi" 31.32 NA NA
"Akodon serrensis" 28.3 NA NA
"Akodon affinis" 24.9 2 NA
"Akodon budini" 26.9 NA NA
"Akodon siberiae" 34.6 NA NA
"Akodon latebricola" 39 NA NA
"Akodon mimus" 24 NA NA
"Amphinectomys savamis" 47.71 NA NA
"Andalgalomys pearsoni" 25.4 NA NA
"Andalgalomys roigi" 28.91 NA NA
"Andalgalomys olrogi" 32.9 NA NA
"Andinomys edax" 69.75 NA NA
"Anotomys leander" 66.4 NA NA
"Auliscomys boliviensis" 65.7 NA NA
"Auliscomys pictus" 54.7 NA NA
"Auliscomys sublimis" 38 NA NA
"Bibimys labiosus" 29 NA NA
"Bibimys torresi" 28 NA NA
"Bibimys chacoensis" 28 NA NA
"Blarinomys breviceps" 36.8 3 NA
"Brucepattersonius griserufescens" 23.7 NA NA
"Brucepattersonius soricinus" 30.87 NA NA
"Brucepattersonius paradisus" 30.87 NA NA
"Brucepattersonius misionensis" 43 NA NA
"Brucepattersonius iheringi" 43 3 NA
"Brucepattersonius guarani" 30.87 NA NA
"Brucepattersonius albinasus" 20 NA NA
"Brucepattersonius igniventris" 32 NA NA
"Calomys tener" 13.8 NA NA
"Calomys boliviae" 27 NA NA
"Calomys callidus" 27 NA NA
"Calomys callosus" 44.95 NA NA
"Calomys expulsus" 39.86 NA NA
"Calomys hummelincki" 27 NA NA
"Calomys laucha" 14 2 NA
"Calomys lepidus" 26.6 NA NA
"Calomys musculinus" 20.1 2 NA
"Calomys sorellus" 20 NA NA
"Calomys tocantinsi" 25.3 NA NA
"Calomys venustus" 49.33 NA NA
"Chelemys megalonyx" 50.8 NA NA
"Chelemys delfini" 61.02 NA NA
"Chelemys macronyx" 73.3 2 NA
"Chibchanomys trichotis" 50 NA NA
"Chibchanomys orcesi" 50 NA NA
"Chilomys instans" 19 NA NA
"Chinchillula sahamae" 169.75 2 NA
"Delomys collinus" 77.94 NA NA
"Delomys dorsalis" 67.5 NA NA
"Delomys sublineatus" 90 NA NA
"Deltamys kempi" 26.4 NA NA
"Eligmodontia typus" 17.3 1 0.8
"Eligmodontia puerulus" 28.5 NA NA
"Eligmodontia moreni" 18 NA NA
"Eligmodontia morgani" 16.5 NA NA
"Euneomys chinchilloides" 87.63 NA NA
"Euneomys fossor" 83 NA NA
"Euneomys mordax" 82 NA NA
"Euneomys petersoni" 83 NA NA
"Galenomys garleppi" 59.3 NA NA
"Geoxus valdivianus" 31.5 2 NA
"Graomys centralis" 65.28 NA NA
"Graomys edithae" 40.4 NA NA
"Graomys griseoflavus" 67.5 NA NA
"Graomys domorum" 102 NA NA
"Handleyomys fuscatus" 49.5 NA NA
"Handleyomys intectus" 60.5 NA NA
"Holochilus brasiliensis" 155 1 NA
"Holochilus chacarius" 204 1 NA
"Holochilus sciureus" 170.96 2 NA
"Ichthyomys pittieri" 69.1 3 NA
"Ichthyomys stolzmanni" 84.7 3 NA
"Ichthyomys hydrobates" 66.4 3 NA
"Ichthyomys tweedii" 118.5 3 NA
"Irenomys tarsalis" 43.15 2 NA
"Juliomys pictipes" 22.9 NA NA
"Juliomys rimofrons" 19.8 NA NA
"Microryzomys altissimus" 13.5 NA NA
"Microryzomys minutus" 13.5 NA NA
"Neacomys paracou" 17.31 NA NA
"Neacomys musseri" 17.31 NA NA
"Neacomys dubosti" 17.31 NA NA
"Neacomys guianae" 14.2 2 NA
"Neacomys pictus" 17.5 2 NA
"Neacomys spinosus" 19 2 NA
"Neacomys tenuipes" 19 2 NA
"Neacomys minutus" 17.31 NA NA
"Necromys amoenus" 27.09 NA NA
"Necromys benefactus" 38 NA NA
"Necromys lactens" 32.9 NA NA
"Necromys lenguarum" 38 NA NA
"Necromys obscurus" 40.69 2 NA
"Necromys punctulatus" 37.3 NA NA
"Necromys temchuki" 47.2 NA NA
"Necromys lasiurus" 39.93 2 NA
"Necromys urichi" 44.84 2 NA
"Nectomys squamipes" 190.75 2 NA
"Nectomys apicalis" 217.85 NA NA
"Nectomys magdalenae" 217.85 NA NA
"Nectomys palmipes" 156.08 NA NA
"Nectomys rattus" 248.8 2 NA
"Neotomys ebriosus" 64.5 NA NA
"Nesoryzomys darwini" 55.26 NA NA
"Nesoryzomys fernandinae" 32.5 NA NA
"Nesoryzomys indefessus" 55.26 NA NA
"Nesoryzomys swarthi" 93.95 NA NA
"Neusticomys peruviensis" 40 3 NA
"Neusticomys mussoi" 40 NA NA
"Neusticomys oyapocki" 4.7 3 NA
"Neusticomys venezuelae" 47.1 3 NA
"Neusticomys monticolus" 39.5 NA NA
"Noronhomys vespuccii" 47.71 NA NA
"Notiomys edwardsii" 21.3 3 NA
"Oecomys catherinae" 67.41 NA NA
"Oecomys rutilus" 73.4 NA NA
"Oecomys rex" 73.4 NA NA
"Oecomys phaeotis" 73.4 NA NA
"Oecomys paricola" 73.4 NA NA
"Oecomys mamorae" 62.5 NA NA
"Oecomys flavicans" 73.4 NA NA
"Oecomys speciosus" 73.4 NA NA
"Oecomys cleberi" 73.4 NA NA
"Oecomys roberti" 73.4 NA NA
"Oecomys bicolor" 34 1 NA
"Oecomys auyantepui" 67.41 NA NA
"Oecomys concolor" 61.55 NA NA
"Oecomys trinitatis" 73.4 NA NA
"Oecomys superans" 73.4 NA NA
"Oligoryzomys vegetus" 15 NA NA
"Oligoryzomys flavescens" 21.3 2 NA
"Oligoryzomys fulvescens" 25 NA NA
"Oligoryzomys griseolus" 25.2 NA NA
"Oligoryzomys longicaudatus" 27 2 NA
"Oligoryzomys magellanicus" 25.2 NA NA
"Oligoryzomys microtis" 22.5 2 NA
"Oligoryzomys fornesi" 23.96 NA NA
"Oligoryzomys stramineus" 23.96 NA NA
"Oligoryzomys arenalis" 25.2 NA NA
"Oligoryzomys eliurus" 30 NA NA
"Oligoryzomys destructor" 25.2 NA NA
"Oligoryzomys delticola" 29.4 2 NA
"Oligoryzomys chacoensis" 23 2 NA
"Oligoryzomys brendae" 23.96 NA NA
"Oligoryzomys victus" 23.96 NA NA
"Oligoryzomys nigripes" 20.5 2 NA
"Oligoryzomys andinus" 25.2 NA NA
"Oryzomys subflavus" 50 1 NA
"Oryzomys talamancae" 55 2 NA
"Oryzomys tatei" 57.93 NA NA
"Oryzomys xanthaeolus" 79.79 NA NA
"Oryzomys perenensis" 57.93 NA NA
"Oryzomys seuanezi" 57.93 NA NA
"Oryzomys yunganus" 60.5 NA NA
"Oryzomys chapmani" 50 NA NA
"Oryzomys hammondi" 60.5 NA NA
"Oryzomys gorgasi" 60.5 NA NA
"Oryzomys galapagoensis" 63.51 NA 1.666666667
"Oryzomys emmonsae" 57.93 NA NA
"Oryzomys dimidiatus" 46 NA NA
"Oryzomys devius" 57.93 NA NA
"Oryzomys rhabdops" 54.88 NA NA
"Oryzomys couesi" 69.3 NA NA
"Oryzomys laticeps" 49.11 NA NA
"Oryzomys caracolus" 57.93 NA NA
"Oryzomys bolivaris" 60.5 2 NA
"Oryzomys balneator" 60.5 NA NA
"Oryzomys auriventer" 60.5 NA NA
"Oryzomys angouya" 120.17 NA NA
"Oryzomys alfaroi" 33.3 NA NA
"Oryzomys albigularis" 60.5 NA NA
"Oryzomys curasoae" 57.93 NA NA
"Oryzomys melanotis" 50 NA NA
"Oryzomys saturatior" 54.82 NA NA
"Oryzomys russatus" 60.5 2 NA
"Oryzomys rostratus" 43.5 NA NA
"Oryzomys polius" 60.5 NA NA
"Oryzomys palustris" 53.88 2 2.375
"Oryzomys nitidus" 55.2 2 NA
"Oryzomys keaysi" 58.3 NA NA
"Oryzomys meridensis" 57.93 NA NA
"Oryzomys lamia" 60.5 NA NA
"Oryzomys megacephalus" 57 2 3.75
"Oryzomys marinhus" 57.93 NA NA
"Oryzomys maracajuensis" 57.93 NA NA
"Oryzomys macconnelli" 58 2 NA
"Oryzomys levipes" 60.5 NA NA
"Oryzomys legatus" 61.5 NA NA
"Oryzomys scotti" 57.93 NA NA
"Oryzomys nelsoni" 57.93 NA NA
"Oxymycterus caparoae" 60.57 NA NA
"Oxymycterus rufus" 75.4 2 2.6
"Oxymycterus akodontius" 68 NA NA
"Oxymycterus amazonicus" 60.57 NA NA
"Oxymycterus angularis" 68 3 NA
"Oxymycterus dasytrichus" 60.57 NA NA
"Oxymycterus hiska" 68 3 NA
"Oxymycterus hispidus" 36.75 3 NA
"Oxymycterus hucucha" 68 3 NA
"Oxymycterus inca" 35 3 NA
"Oxymycterus josei" 60.57 NA NA
"Oxymycterus nasutus" 68 3 NA
"Oxymycterus paramensis" 42 3 NA
"Oxymycterus quaestor" 60.57 NA NA
"Oxymycterus delator" 81.5 NA NA
"Oxymycterus roberti" 83.4 3 NA
"Paralomys gerbillus" 17.4 NA NA
"Pearsonomys annectens" 38.74 NA NA
"Phaenomys ferrugineus" 93.8 NA NA
"Phyllotis darwini" 50.83 2 NA
"Phyllotis xanthopygus" 56.3 2 NA
"Phyllotis osilae" 49 2 NA
"Phyllotis osgoodi" 45.1 NA NA
"Phyllotis magister" 68.5 2 NA
"Phyllotis limatus" 48.29 NA NA
"Phyllotis definitus" 89 NA NA
"Phyllotis wolffsohni" 42.5 NA NA
"Phyllotis caprinus" 50.8 NA NA
"Phyllotis bonariensis" 42.5 NA NA
"Phyllotis andium" 53 NA NA
"Phyllotis amicus" 20.2 NA NA
"Phyllotis haggardi" 42.5 NA NA
"Podoxymys roraimae" 33.8 NA NA
"Pseudoryzomys simplex" 51.25 NA NA
"Punomys lemminus" 84.8 NA NA
"Punomys kofordi" 84.8 NA NA
"Reithrodon auritus" 70.85 1 5.5
"Reithrodon typicus" 70.85 NA NA
"Rhagomys longilingua" 21.2 NA NA
"Rhagomys rufescens" 21.2 NA NA
"Rheomys raptor" 38 NA NA
"Rheomys thomasi" 40 3 NA
"Rheomys mexicanus" 40 3 NA
"Rheomys underwoodi" 41.85 3 NA
"Rhipidomys caucensis" 89 NA NA
"Rhipidomys leucodactylus" 80 NA NA
"Rhipidomys ochrogaster" 89 NA NA
"Rhipidomys modicus" 79.72 NA NA
"Rhipidomys mastacalis" 77.5 2 NA
"Rhipidomys macrurus" 79.72 NA NA
"Rhipidomys macconnelli" 41.6 NA NA
"Rhipidomys latimanus" 57.5 2 NA
"Rhipidomys gardneri" 79.72 NA NA
"Rhipidomys fulviventer" 89 NA NA
"Rhipidomys venustus" 89 NA NA
"Rhipidomys couesi" 89 NA NA
"Rhipidomys venezuelae" 90 NA NA
"Rhipidomys austrinus" 89 NA NA
"Rhipidomys emiliae" 79.72 NA NA
"Rhipidomys nitela" 89 NA NA
"Rhipidomys wetzeli" 89 NA NA
"Salinomys delicatus" 12.3 NA NA
"Scapteromys aquaticus" 146 NA NA
"Scapteromys tumidus" 146 3 NA
"Scolomys melanops" 26.5 NA NA
"Scolomys ucayalensis" 26.5 NA NA
"Sigmodon mascotensis" 120 NA NA
"Sigmodon alleni" 179 NA NA
"Sigmodon arizonae" 198 NA NA
"Sigmodon fulviventer" 214 NA NA
"Sigmodon hirsutus" 130.37 NA NA
"Sigmodon hispidus" 92.38 2 5.2
"Sigmodon leucotis" 135.5 NA NA
"Sigmodon peruanus" 127.32 NA NA
"Sigmodon planifrons" 130.37 NA NA
"Sigmodon toltecus" 130.37 NA NA
"Sigmodon zanjonensis" 130.37 NA NA
"Sigmodon ochrognathus" 122 NA NA
"Sigmodon inopinatus" 140.5 NA NA
"Sigmodon alstoni" 55.7 1 NA
"Sigmodontomys alfari" 50 NA NA
"Sigmodontomys aphrastus" 71 NA NA
"Tapecomys primus" 62.33 NA NA
"Thalpomys lasiotis" 24 NA NA
