species	order_pbdb	order_now	fam_pbdb	fam_now	genus	species	occ_pbdb	occ_now
Sanctimus stuartae	rodentia	NA	florentiamyidae	NA	sanctimus	stuartae	11	NA
Knightomys depressus	rodentia	NA	sciuravidae	NA	knightomys	depressus	34	NA
Hypertragulus hesperius	artiodactyla	NA	hypertragulidae	NA	hypertragulus	hesperius	5	NA
Marcuinomys roquesi	NA	lagomorpha	NA	ochotonidae	marcuinomys	roquesi	NA	1
Pliolagus tothi	NA	lagomorpha	NA	leporidae	pliolagus	tothi	NA	1
Bonisicyon illacabo	NA	carnivora	NA	amphicyonidae	bonisicyon	illacabo	NA	5
Synaptomys bunkeri	rodentia	NA	cricetidae	NA	synaptomys	bunkeri	1	NA
Cetotherium rathkii	cetacea	NA	cetotheriidae	NA	cetotherium	rathkii	4	NA
Pseudoplohophorus absolutus	xenarthra	NA	glyptodontidae	NA	pseudoplohophorus	absolutus	1	NA
Heterohyrax auricampensis	hyracoidea	NA	procaviidae	NA	heterohyrax	auricampensis	1	NA
Eozygodon morotoensis	NA	proboscidea	NA	mammutidae	eozygodon	morotoensis	NA	6
Marambiotherium glacialis	marsupialia	NA	NA	NA	marambiotherium	glacialis	3	NA
Equus oldowayensis	NA	perissodactyla	NA	equidae	equus	oldowayensis	NA	10
Holochilus primigenus	rodentia	NA	cricetidae	NA	holochilus	primigenus	1	NA
Myotis gemulus	NA	chiroptera	NA	vespertilionidae	myotis	gemulus	NA	1
Erinaceus davidi	NA	eulipotyphla	NA	erinaceidae	erinaceus	davidi	NA	1
Ampliconus browni	NA	NA	periptychidae	NA	ampliconus	browni	1	NA
Gallolestes pachymandibularis	NA	NA	zhelestidae	NA	gallolestes	pachymandibularis	1	NA
Homotherium johnstoni	carnivora	NA	felidae	NA	homotherium	johnstoni	1	NA
Pliomorphus robustus	xenarthra	NA	megalonychidae	NA	pliomorphus	robustus	1	NA
Eumaiochoerus etruscus	artiodactyla	NA	suidae	NA	eumaiochoerus	etruscus	1	NA
Eptesicus aurelianensis	chiroptera	chiroptera	vespertilionidae	vespertilionidae	eptesicus	aurelianensis	2	3
Ursus stehlini	NA	carnivora	NA	ursidae	ursus	stehlini	NA	1
Eotmantsoius perseverans	macroscelidea	NA	macroscelididae	NA	eotmantsoius	perseverans	1	NA
Trilaccogaulus lemhiensis	rodentia	NA	mylagaulidae	NA	trilaccogaulus	lemhiensis	1	NA
Procoptodon browneorum	diprotodontia	NA	NA	NA	procoptodon	browneorum	38	NA
Kansupithecus NA	NA	primates	NA	catarrhini	kansupithecus	NA	NA	1
Pseudotheridomys asiaticus	NA	rodentia	NA	eomyidae	pseudotheridomys	asiaticus	NA	1
Malacothrix typica	NA	rodentia	NA	muridae	malacothrix	typica	NA	6
Limnoecus tricuspis	NA	NA	soricidae	NA	limnoecus	tricuspis	21	NA
Panobius russelli	primates	NA	notharctidae	NA	panobius	russelli	1	NA
Carpodaptes jepseni	primates	NA	carpolestidae	NA	carpodaptes	jepseni	2	NA
Kiyatherium cardiodens	NA	NA	zhangheotheriidae	NA	kiyatherium	cardiodens	2	NA
Auroratherium sinense	NA	NA	epoicotheriidae	NA	auroratherium	sinense	1	NA
Genetta genetta	carnivora	NA	viverridae	NA	genetta	genetta	6	NA
Glyptodon elongatus	xenarthra	NA	glyptodontidae	NA	glyptodon	elongatus	1	NA
Microparamys tricus	rodentia	NA	ischyromyidae	NA	microparamys	tricus	9	NA
Anchomomys gaillardi	primates	primates	notharctidae	adapidae	anchomomys	gaillardi	2	1
Limnocyon medius	hyaenodonta	NA	hyaenodontidae	NA	limnocyon	medius	1	NA
Hydromops riversleighensis	NA	chiroptera	NA	incertae sedis	hydromops	riversleighensis	NA	1
Proheteromys ironcloudi	rodentia	NA	heteromyidae	NA	proheteromys	ironcloudi	4	NA
Phanomys vetulus	rodentia	NA	eocardiidae	NA	phanomys	vetulus	1	NA
Indobaatar zofiae	multituberculata	NA	eobaataridae	NA	indobaatar	zofiae	1	NA
Aktashmys montealbus	lagomorpha	NA	strenulagidae	NA	aktashmys	montealbus	2	NA
Megacricetodon gersii	NA	rodentia	NA	muridae	megacricetodon	gersii	NA	27
Dinofelis diastemata	NA	carnivora	NA	felidae	dinofelis	diastemata	NA	1
Agnotherium kiptalami	NA	carnivora	NA	amphicyonidae	agnotherium	kiptalami	NA	2
Litokoala kutjamarpensis	diprotodontia	NA	phascolarctidae	NA	litokoala	kutjamarpensis	1	NA
Cervus sivalensis	NA	artiodactyla	NA	cervidae	cervus	sivalensis	NA	1
Brachycrus rusticus	artiodactyla	NA	merycoidodontidae	NA	brachycrus	rusticus	3	NA
Serbelodon burnhami	proboscidea	NA	gomphotheriidae	NA	serbelodon	burnhami	4	NA
Ernanodon antelios	NA	NA	NA	NA	ernanodon	antelios	3	NA
Tapirus mesopotamicus	perissodactyla	NA	tapiridae	NA	tapirus	mesopotamicus	1	NA
Marmosa mexicana	didelphimorphia	NA	didelphidae	NA	marmosa	mexicana	1	NA
Eritherium azzouzorum	proboscidea	proboscidea	NA	indet.	eritherium	azzouzorum	1	1
Plesiadapis fodinatus	primates	NA	plesiadapidae	NA	plesiadapis	fodinatus	12	NA
Praetragulus gobiae	artiodactyla	NA	hypertragulidae	NA	praetragulus	gobiae	4	NA
Chironectes minimus	didelphimorphia	NA	didelphidae	NA	chironectes	minimus	1	NA
Aethomys chrysophilus	NA	rodentia	NA	muridae	aethomys	chrysophilus	NA	5
Fahlbuschia freudenthali	rodentia	NA	cricetidae	NA	fahlbuschia	freudenthali	2	NA
Apletotomeus crassus	rodentia	NA	heliscomyidae	NA	apletotomeus	crassus	2	NA
Mellalictis mellalensis	carnivora	NA	mustelidae	NA	mellalictis	mellalensis	1	NA
Thaumastocyon dirus	NA	carnivora	NA	amphicyonidae	thaumastocyon	dirus	NA	2
Damaliscus lunatus	NA	artiodactyla	NA	bovidae	damaliscus	lunatus	NA	4
Pseudocyon steinheimensis	carnivora	carnivora	amphicyonidae	amphicyonidae	pseudocyon	steinheimensis	1	12
Gobiomys exiguus	rodentia	NA	gobiomyidae	NA	gobiomys	exiguus	4	NA
Bramatherium perimense	NA	artiodactyla	NA	giraffidae	bramatherium	perimense	NA	3
Lopholistriodon pickfordi	artiodactyla	artiodactyla	suidae	suidae	lopholistriodon	pickfordi	1	4
Ochotona bazarovi	NA	lagomorpha	NA	ochotonidae	ochotona	bazarovi	NA	1
Plesictis mayri	carnivora	NA	mustelidae	NA	plesictis	mayri	2	NA
Huaridelphis raimondii	cetacea	NA	squalodelphinidae	NA	huaridelphis	raimondii	1	NA
Moeritherium gracile	proboscidea	NA	moeritheriidae	NA	moeritherium	gracile	2	NA
Desmana nogaica	NA	eulipotyphla	NA	talpidae	desmana	nogaica	NA	4
Scaldicetus NA	NA	cetacea	NA	physeteridae	scaldicetus	NA	NA	1
Microtus brandti	NA	rodentia	NA	muridae	microtus	brandti	NA	1
Gomphos ellae	mixodontia	NA	mimolagidae	NA	gomphos	ellae	1	NA
Glibzegdouia tabelbalaensis	hyaenodonta	carnivora	NA	find out	glibzegdouia	tabelbalaensis	3	2
Archaeosimos NA	NA	diprotodontia	NA	macropodidae	archaeosimos	NA	NA	2
Lophiodon eygalayense	perissodactyla	NA	lophiodontidae	NA	lophiodon	eygalayense	1	NA
Sorex powersi	NA	NA	soricidae	NA	sorex	powersi	3	NA
Pseudotomus petersoni	rodentia	NA	paramyidae	NA	pseudotomus	petersoni	4	NA
Nycticebus linglom	primates	primates	lorisidae	lorisidae	nycticebus	linglom	1	1
Hyrachyus douglassi	perissodactyla	NA	hyrachyidae	NA	hyrachyus	douglassi	1	NA
Tricentes subtrigonus	NA	NA	arctocyonidae	NA	tricentes	subtrigonus	32	NA
Pseudhipparion skinneri	perissodactyla	NA	equidae	NA	pseudhipparion	skinneri	26	NA
Ruscinomys gilothi	NA	rodentia	NA	muridae	ruscinomys	gilothi	NA	1
Paenelimnoecus chinensis	NA	eulipotyphla	NA	soricidae	paenelimnoecus	chinensis	NA	1
Camelops minidokae	artiodactyla	NA	camelidae	NA	camelops	minidokae	5	NA
Bjornkurtenia cantarranensis	NA	rodentia	NA	arvicolidae	bjornkurtenia	cantarranensis	NA	1
Pilgrimella NA	NA	uranotheria	NA	anthracobunidae	pilgrimella	NA	NA	2
Caprotragoides potwaricus	NA	artiodactyla	NA	bovidae	caprotragoides	potwaricus	NA	3
Protoryx tadzhikistanica	NA	artiodactyla	NA	bovidae	protoryx	tadzhikistanica	NA	2
Paenelimnoecus obtusus	NA	eulipotyphla	soricidae	soricidae	paenelimnoecus	obtusus	2	2
Teilhardimys reisi	perissodactyla	NA	NA	NA	teilhardimys	reisi	1	NA
Aphronorus orieli	cimolesta	NA	pentacodontidae	NA	aphronorus	orieli	8	NA
Nannocricetus NA	NA	rodentia	NA	muridae	nannocricetus	NA	NA	4
Tetrameryx mooseri	artiodactyla	NA	antilocapridae	NA	tetrameryx	mooseri	1	NA
Vasseuromys dublex	NA	rodentia	NA	gliridae	vasseuromys	dublex	NA	1
Palaeochoerus NA	NA	artiodactyla	NA	palaeochoeridae	palaeochoerus	NA	NA	5
Ustatochoerus medius	artiodactyla	NA	merycoidodontidae	NA	ustatochoerus	medius	35	NA
Hylopetes debruijni	NA	rodentia	NA	pteromyidae	hylopetes	debruijni	NA	1
Protragocerus NA	NA	artiodactyla	NA	bovidae	protragocerus	NA	NA	7
Ovibos moschatus	artiodactyla	artiodactyla	bovidae	bovidae	ovibos	moschatus	32	10
Helioseus insolitus	NA	incertae sedis	NA	incertae sedis	helioseus	insolitus	5	6
Percrocuta eximia	NA	carnivora	NA	percrocutidae	percrocuta	eximia	NA	4
Vasseuromys NA	NA	rodentia	NA	gliridae	vasseuromys	NA	NA	14
Arctomeles dimolodontus	carnivora	NA	mustelidae	NA	arctomeles	dimolodontus	1	NA
Canthumeryx NA	NA	artiodactyla	NA	giraffidae	canthumeryx	NA	NA	4
Helaletes nanus	perissodactyla	NA	NA	NA	helaletes	nanus	20	NA
Sivaonyx africana	NA	carnivora	NA	mustelidae	sivaonyx	africana	NA	5
Mygalea magna	lipotyphla	eulipotyphla	talpidae	talpidae	mygalea	magna	2	2
Microtragulus rusconii	polydolopimorphia	NA	argyrolagidae	NA	microtragulus	rusconii	4	NA
Palaeoreas lindermayeri	NA	artiodactyla	NA	bovidae	palaeoreas	lindermayeri	NA	25
Platychoerops daubrei	primates	NA	plesiadapidae	NA	platychoerops	daubrei	5	NA
Mioprionodon hodopeus	carnivora	NA	NA	NA	mioprionodon	hodopeus	1	NA
Pelocetus calvertensis	cetacea	NA	NA	NA	pelocetus	calvertensis	3	NA
Skinneroceras manningi	perissodactyla	NA	rhinocerotidae	NA	skinneroceras	manningi	1	NA
Elfomys parvulus	rodentia	NA	theridomyidae	NA	elfomys	parvulus	5	NA
Nyanzachoerus australis	NA	artiodactyla	NA	suidae	nyanzachoerus	australis	NA	6
Leptobos crassus	NA	artiodactyla	NA	bovidae	leptobos	crassus	NA	2
Karstala silva	chiroptera	NA	vespertilionidae	NA	karstala	silva	1	NA
Aureliachoerus aurelianensis	NA	artiodactyla	NA	suidae	aureliachoerus	aurelianensis	NA	66
Dipodomys pattersoni	rodentia	NA	heteromyidae	NA	dipodomys	pattersoni	1	NA
Mellivora sivalensis	NA	carnivora	NA	mustelidae	mellivora	sivalensis	NA	2
Neoplagiaulax paskapooensis	multituberculata	NA	neoplagiaulacidae	NA	neoplagiaulax	paskapooensis	1	NA
Mystromys NA	NA	rodentia	NA	cricetodontidae	mystromys	NA	NA	1
Mojavemys alexandrae	rodentia	NA	geomyidae	NA	mojavemys	alexandrae	2	NA
Naemorhedus milneedwardsi	NA	artiodactyla	NA	bovidae	naemorhedus	milneedwardsi	NA	1
Scalabrinitherium bravardi	litopterna	NA	macraucheniidae	NA	scalabrinitherium	bravardi	1	NA
Kobus porrecticornis	NA	artiodactyla	NA	bovidae	kobus	porrecticornis	NA	12
Oxyaenoides lindgreni	hyaenodonta	NA	hyaenodontidae	NA	oxyaenoides	lindgreni	2	NA
Castromys littoralis	rodentia	rodentia	muridae	muridae	castromys	littoralis	1	5
Zramys salemi	NA	rodentia	NA	muridae	zramys	salemi	NA	1
Hemicyon gargan	NA	carnivora	NA	ursidae	hemicyon	gargan	NA	7
Prototomus robustus	hyaenodonta	NA	hyaenodontidae	NA	prototomus	robustus	27	NA
Ectypodus powelli	multituberculata	NA	neoplagiaulacidae	NA	ectypodus	powelli	22	NA
Paratriaenops furculus	NA	chiroptera	NA	hipposideridae	paratriaenops	furculus	NA	1
Hadromys primitivus	NA	rodentia	NA	muridae	hadromys	primitivus	NA	1
Scaptonyx NA	NA	eulipotyphla	NA	talpidae	scaptonyx	NA	NA	4
Alluvisorex chasseae	NA	NA	soricidae	NA	alluvisorex	chasseae	4	NA
Pachyacanthus andrussovi	NA	cetacea	NA	balaenidae	pachyacanthus	andrussovi	NA	1
Saghatherium humarum	hyracoidea	hyracoidea	pliohyracidae	saghatheriidae	saghatherium	humarum	1	1
Orca paleorca	cetacea	NA	delphinidae	NA	orca	paleorca	2	NA
Petauristodon minimus	rodentia	NA	sciuridae	NA	petauristodon	minimus	3	NA
Phenacolemur praecox	primates	NA	paromomyidae	NA	phenacolemur	praecox	16	NA
Pygathrix lantianensis	NA	primates	NA	cercopithecidae	pygathrix	lantianensis	NA	1
Hipparion gracile	NA	perissodactyla	NA	equidae	hipparion	gracile	NA	9
Canis kuruksaensis	NA	carnivora	NA	canidae	canis	kuruksaensis	NA	1
Sindemys NA	NA	rodentia	NA	muridae	sindemys	NA	NA	1
Nannomephitis crassidens	NA	carnivora	NA	mustelidae	nannomephitis	crassidens	NA	1
Paramys NA	NA	rodentia	NA	ischyromyidae	paramys	NA	NA	1
Teleoceras medicornutum	perissodactyla	NA	rhinocerotidae	NA	teleoceras	medicornutum	50	NA
Protolabis saxeus	artiodactyla	NA	camelidae	NA	protolabis	saxeus	2	NA
Pachyodon mirabilis	cetacea	NA	squalodontidae	NA	pachyodon	mirabilis	1	NA
Palaeoloxodon mnaidriensis	proboscidea	NA	elephantidae	NA	palaeoloxodon	mnaidriensis	1	NA
Paciculus cedrus	rodentia	NA	NA	NA	paciculus	cedrus	1	NA
Plagiomene accola	dermoptera	NA	NA	NA	plagiomene	accola	8	NA
Rhodopagus minimus	perissodactyla	NA	hyracodontidae	NA	rhodopagus	minimus	3	NA
Dicrocerus grangeri	NA	artiodactyla	NA	cervidae	dicrocerus	grangeri	NA	4
Tragelaphus angasii	artiodactyla	NA	bovidae	NA	tragelaphus	angasii	8	NA
Hyperdichobune hammeli	artiodactyla	NA	dichobunidae	NA	hyperdichobune	hammeli	2	NA
Urmiatherium intermedium	NA	artiodactyla	NA	bovidae	urmiatherium	intermedium	NA	7
Sinomegaceros NA	NA	artiodactyla	NA	cervidae	sinomegaceros	NA	NA	4
Boffius splendidus	multituberculata	NA	boffiidae	NA	boffius	splendidus	1	NA
Martes basilii	NA	carnivora	NA	mustelidae	martes	basilii	NA	3
Viverra howeli	NA	carnivora	NA	viverridae	viverra	howeli	NA	1
Peramuroides tenuiscus	peramura	NA	peramuridae	NA	peramuroides	tenuiscus	1	NA
Paraethomys anomalus	NA	rodentia	NA	muridae	paraethomys	anomalus	NA	19
Eutypomys hibernodus	rodentia	NA	eutypomyidae	NA	eutypomys	hibernodus	1	NA
Mylohyus obtusidens	artiodactyla	NA	tayassuidae	NA	mylohyus	obtusidens	1	NA
Litokoala kanunkaensis	diprotodontia	NA	phascolarctidae	NA	litokoala	kanunkaensis	2	NA
Bumbanomys edestus	rodentia	NA	tamquammyidae	NA	bumbanomys	edestus	1	NA
Archaeonycteris brailloni	chiroptera	NA	archaeonycteridae	NA	archaeonycteris	brailloni	2	NA
Megalagus brachyodon	lagomorpha	NA	leporidae	NA	megalagus	brachyodon	22	NA
Equus teilhardi	NA	perissodactyla	NA	equidae	equus	teilhardi	NA	1
Protadjidaumo typus	rodentia	NA	eomyidae	NA	protadjidaumo	typus	2	NA
Urmiatherium polaki	NA	artiodactyla	NA	bovidae	urmiatherium	polaki	NA	4
Felis chaus	NA	carnivora	NA	felidae	felis	chaus	NA	2
Ecprepaulax anomala	multituberculata	NA	pinheirodontidae	NA	ecprepaulax	anomala	1	NA
Avashishta bacharamensis	multituberculata	NA	haramyidae	NA	avashishta	bacharamensis	1	NA
Phacochoerus africanus	artiodactyla	NA	suidae	NA	phacochoerus	africanus	12	NA
Apodemus schaubi	NA	rodentia	NA	muridae	apodemus	schaubi	NA	1
Hodomys alleni	rodentia	NA	cricetidae	NA	hodomys	alleni	1	NA
Hispanomys mediterraneus	NA	rodentia	NA	muridae	hispanomys	mediterraneus	NA	10
Dichodon frohnstettense	NA	artiodactyla	NA	xiphodontidae	dichodon	frohnstettense	NA	1
Plagioctenodon savagei	NA	NA	nyctitheriidae	NA	plagioctenodon	savagei	2	NA
Felsinotherium serresii	NA	sirenia	NA	dugongidae	felsinotherium	serresii	NA	1
Protylopus pearsonensis	artiodactyla	NA	oromerycidae	NA	protylopus	pearsonensis	5	NA
Archaeomys major	NA	rodentia	NA	theridomyidae	archaeomys	major	NA	1
Anatolechinos neimongolensis	lipotyphla	NA	erinaceidae	NA	anatolechinos	neimongolensis	3	NA
Buisnictis schoffi	carnivora	NA	mustelidae	NA	buisnictis	schoffi	5	NA
Triconolestes curvicuspis	eutriconodonta	NA	triconodontidae	NA	triconolestes	curvicuspis	1	NA
Lemoynea biradicularis	lipotyphla	NA	talpidae	NA	lemoynea	biradicularis	3	NA
Ammospermophilus jeffriesi	rodentia	NA	sciuridae	NA	ammospermophilus	jeffriesi	1	NA
Hyoboops palaeindicus	NA	artiodactyla	NA	anthracotheriidae	hyoboops	palaeindicus	NA	1
Cherwellia leei	morganucodonta	NA	NA	NA	cherwellia	leei	1	NA
Ocepeia daouiensis	NA	NA	NA	NA	ocepeia	daouiensis	2	NA
Brandonia intermedia	NA	NA	NA	NA	brandonia	intermedia	1	NA
Dimylus paradoxus	NA	eulipotyphla	dimylidae	dimylidae	dimylus	paradoxus	4	8
Acerorhinus palaeosinensis	NA	perissodactyla	NA	rhinocerotidae	acerorhinus	palaeosinensis	NA	5
Bothriodon chowi	artiodactyla	NA	anthracotheriidae	NA	bothriodon	chowi	1	NA
Cainotherium huerzeleri	artiodactyla	artiodactyla	cainotheriidae	cainotheriidae	cainotherium	huerzeleri	4	4
Karnimata jacobsi	NA	rodentia	NA	muridae	karnimata	jacobsi	NA	1
Amblonyx cinerea	carnivora	NA	mustelidae	NA	amblonyx	cinerea	1	NA
Altilambda yujingensis	amblypoda	NA	pastoralodontidae	NA	altilambda	yujingensis	1	NA
Tetrapassalus proius	NA	NA	epoicotheriidae	NA	tetrapassalus	proius	1	NA
Hondonadia praecipitia	polydolopimorphia	NA	rosendolopidae	NA	hondonadia	praecipitia	1	NA
Kalobatippus australis	perissodactyla	NA	equidae	NA	kalobatippus	australis	2	NA
Karanisia arenula	primates	NA	NA	NA	karanisia	arenula	1	NA
Anictops wanghudunensis	anagalida	NA	pseudictopidae	NA	anictops	wanghudunensis	2	NA
Phoca vitulina	carnivora	NA	phocidae	NA	phoca	vitulina	34	NA
Eostyloceros longchuanensis	NA	artiodactyla	NA	cervidae	eostyloceros	longchuanensis	NA	1
Propotamochoerus NA	NA	artiodactyla	NA	suidae	propotamochoerus	NA	NA	17
Paratalpa NA	NA	eulipotyphla	NA	talpidae	paratalpa	NA	NA	3
Tragelaphus pricei	NA	artiodactyla	NA	bovidae	tragelaphus	pricei	NA	3
Plesiodimylus chantrei	NA	eulipotyphla	dimylidae	dimylidae	plesiodimylus	chantrei	22	75
Proentelodon minutus	artiodactyla	NA	entelodontidae	NA	proentelodon	minutus	1	NA
Cantius trigonodus	primates	NA	notharctidae	NA	cantius	trigonodus	26	NA
Zygomaturus nimborensis	diprotodontia	NA	diprotodontidae	NA	zygomaturus	nimborensis	1	NA
Peradectes minor	NA	NA	peradectidae	NA	peradectes	minor	3	NA
Acritoparamys wyomingensis	rodentia	NA	ischyromyidae	NA	acritoparamys	wyomingensis	10	NA
Lycopsis viverensis	sparassodonta	NA	NA	NA	lycopsis	viverensis	1	NA
Kogaionon ungureanui	multituberculata	NA	kogaionidae	NA	kogaionon	ungureanui	1	NA
Marmosa murina	didelphimorphia	NA	didelphidae	NA	marmosa	murina	1	NA
Microtus cabrerae	NA	rodentia	NA	muridae	microtus	cabrerae	NA	1
Saharamys misrensis	NA	rodentia	NA	muridae	saharamys	misrensis	NA	1
Raphicerus NA	NA	artiodactyla	NA	bovidae	raphicerus	NA	NA	17
Asiagenes ceratinus	NA	artiodactyla	NA	cervidae	asiagenes	ceratinus	NA	1
Protragocerus labidotus	NA	artiodactyla	NA	bovidae	protragocerus	labidotus	NA	4
Mimomys minor	NA	rodentia	NA	muridae	mimomys	minor	NA	7
Titanomys visenoviensis	NA	lagomorpha	NA	ochotonidae	titanomys	visenoviensis	NA	12
Eomaia scansoria	NA	NA	NA	NA	eomaia	scansoria	1	NA
Elfomys catalaunicus	rodentia	NA	theridomyidae	NA	elfomys	catalaunicus	1	NA
Cainotherium laticurvatum	artiodactyla	artiodactyla	cainotheriidae	cainotheriidae	cainotherium	laticurvatum	1	12
Albertatherium secundus	didelphimorphia	NA	alphadontidae	NA	albertatherium	secundus	1	NA
Chilotherium primigenius	NA	perissodactyla	NA	rhinocerotidae	chilotherium	primigenius	NA	1
Parahippus pristinus	perissodactyla	NA	equidae	NA	parahippus	pristinus	3	NA
Paranomalurus walkeri	NA	rodentia	NA	anomaluridae	paranomalurus	walkeri	NA	8
Nasua nasua	carnivora	NA	procyonidae	NA	nasua	nasua	4	NA
Pampatherium typum	cingulata	NA	pampatheriidae	NA	pampatherium	typum	4	NA
Cricetulus varians	NA	rodentia	NA	muridae	cricetulus	varians	NA	4
Cebochoerus lacustris	artiodactyla	NA	cebochoeridae	NA	cebochoerus	lacustris	2	NA
Nievesia sossisensis	primates	NA	notharctidae	NA	nievesia	sossisensis	1	NA
Desmana kowalskae	lipotyphla	NA	talpidae	NA	desmana	kowalskae	1	NA
Melidellavus leptorhynchus	NA	carnivora	NA	mustelidae	melidellavus	leptorhynchus	NA	2
Macropus anak	diprotodontia	NA	macropodidae	NA	macropus	anak	1	NA
Pipistrellus hesperus	chiroptera	NA	vespertilionidae	NA	pipistrellus	hesperus	1	NA
Parapaenemarmota pattersoni	rodentia	NA	sciuridae	NA	parapaenemarmota	pattersoni	2	NA
Megacricetodon schaubi	NA	rodentia	NA	muridae	megacricetodon	schaubi	NA	2
Prochrysochloris miocaenicus	NA	chrysochloridea	NA	chrysochloridae	prochrysochloris	miocaenicus	NA	6
Sciurotamias wangi	NA	rodentia	NA	sciuridae	sciurotamias	wangi	NA	1
Dremotherium nitiobrogensis	NA	artiodactyla	NA	moschidae	dremotherium	nitiobrogensis	NA	1
Yimengia yani	perissodactyla	NA	hyracodontidae	NA	yimengia	yani	2	NA
Neotomys ebriosus	rodentia	NA	cricetidae	NA	neotomys	ebriosus	1	NA
Prostrepsiceros fraasi	NA	artiodactyla	NA	bovidae	prostrepsiceros	fraasi	NA	3
Caprolagus sivalensis	NA	lagomorpha	NA	leporidae	caprolagus	sivalensis	NA	1
Hyopsodus walcottianus	condylarthra	NA	hyopsodontidae	NA	hyopsodus	walcottianus	14	NA
Balaenotus insignis	cetacea	NA	balaenidae	NA	balaenotus	insignis	6	NA
Myotis thysanodes	chiroptera	NA	vespertilionidae	NA	myotis	thysanodes	3	NA
Zenkerella wintoni	NA	rodentia	NA	anomaluridae	zenkerella	wintoni	NA	2
Prosantorhinus germanicus	NA	perissodactyla	NA	rhinocerotidae	prosantorhinus	germanicus	NA	14
Grangeria canina	perissodactyla	NA	NA	NA	grangeria	canina	1	NA
Sansanosmilus NA	NA	carnivora	NA	barbourofelidae	sansanosmilus	NA	NA	5
Praemegaceros NA	NA	artiodactyla	NA	cervidae	praemegaceros	NA	NA	9
Kharomys mirandus	rodentia	NA	tamquammyidae	NA	kharomys	mirandus	1	NA
Archaeopotamus lothagamensis	artiodactyla	artiodactyla	hippopotamidae	hippopotamidae	archaeopotamus	lothagamensis	3	10
Spermophilus elegans	rodentia	NA	sciuridae	NA	spermophilus	elegans	6	NA
Haplohippus texanus	perissodactyla	NA	equidae	NA	haplohippus	texanus	2	NA
Simia albifrons	primates	NA	NA	NA	simia	albifrons	1	NA
Enaliarctos emlongi	carnivora	NA	NA	NA	enaliarctos	emlongi	3	NA
Australopithecus afarensis	NA	primates	NA	hominidae	australopithecus	afarensis	NA	20
Hipparion gigantheum	NA	perissodactyla	NA	equidae	hipparion	gigantheum	NA	1
Indratherium compressus	artiodactyla	NA	giraffidae	NA	indratherium	compressus	1	NA
Desmanella dubia	lipotyphla	eulipotyphla	talpidae	talpidae	desmanella	dubia	4	8
Notogaulus minor	rodentia	NA	mylagaulidae	NA	notogaulus	minor	5	NA
Repomys gustelyi	rodentia	NA	cricetidae	NA	repomys	gustelyi	5	NA
Notolagus lepusculus	lagomorpha	NA	leporidae	NA	notolagus	lepusculus	8	NA
Enginia NA	NA	rodentia	NA	muridae	enginia	NA	NA	1
Lunanosorex qiui	NA	eulipotyphla	NA	soricidae	lunanosorex	qiui	NA	1
Megaderma franconica	chiroptera	chiroptera	megadermatidae	megadermatidae	megaderma	franconica	1	5
Hipposideros vetus	NA	chiroptera	NA	hipposideridae	hipposideros	vetus	NA	1
Cercocebus NA	NA	primates	NA	cercopithecidae	cercocebus	NA	NA	3
Heliscomys mcgrewi	rodentia	NA	heliscomyidae	NA	heliscomys	mcgrewi	4	NA
Damaliscus dorcus	NA	artiodactyla	NA	bovidae	damaliscus	dorcus	NA	1
Aegyptopithecus zeuxis	primates	primates	propliopithecidae	findout	aegyptopithecus	zeuxis	2	2
Diplobune secundaria	artiodactyla	artiodactyla	anoplotheriidae	anoplotheriidae	diplobune	secundaria	5	3
Paratritemnodon jandewalensis	hyaenodonta	creodonta	hyaenodontidae	hyaenodontidae	paratritemnodon	jandewalensis	2	1
Ekaltadeta jamiemulvaneyi	diprotodontia	NA	NA	NA	ekaltadeta	jamiemulvaneyi	1	NA
Protolabis gracilis	artiodactyla	NA	camelidae	NA	protolabis	gracilis	7	NA
Amphimachairodus coloradensis	carnivora	NA	felidae	NA	amphimachairodus	coloradensis	17	NA
Metapterodon brachycephalus	hyaenodonta	creodonta	hyaenodontidae	hyaenodontidae	metapterodon	brachycephalus	1	1
Bubogonia bombadili	condylarthra	NA	hyopsodontidae	NA	bubogonia	bombadili	2	NA
Helicoportax tragelaphoides	NA	artiodactyla	NA	bovidae	helicoportax	tragelaphoides	NA	1
Tsaganohyus pecus	artiodactyla	artiodactyla	homacodontidae	findout	tsaganohyus	pecus	1	1
Ochotona lagrelii	NA	lagomorpha	NA	ochotonidae	ochotona	lagrelii	NA	19
Clethrionomys mirus	NA	rodentia	NA	muridae	clethrionomys	mirus	NA	2
Australithax intermedia	cetacea	NA	phocoenidae	NA	australithax	intermedia	1	NA
Gelastops joni	cimolesta	NA	cimolestidae	NA	gelastops	joni	2	NA
Macaca arctoides	NA	primates	NA	cercopithecidae	macaca	arctoides	NA	1
Dilambda zhuguikengensis	amblypoda	NA	pantolambdodontidae	NA	dilambda	zhuguikengensis	1	NA
Protoceras celer	artiodactyla	NA	protoceratidae	NA	protoceras	celer	4	NA
Navahoceros lascrucensis	artiodactyla	NA	cervidae	NA	navahoceros	lascrucensis	1	NA
Florinia stehlini	NA	eulipotyphla	soricidae	soricidae	florinia	stehlini	4	16
Yongshengomys extensus	rodentia	NA	NA	NA	yongshengomys	extensus	1	NA
Ischyrictis helbingi	NA	carnivora	NA	mustelidae	ischyrictis	helbingi	NA	1
